Player,Years,Seasons,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
"Eisenhour, Cheyenne",1,2012-13,28.0,28.0,748.0,61.0,166.0,24.0,80.0,63.0,97.0,209.0,27.0,99.0,126.0,91.0,51.0,59.0,39.0,4.0,0.3674698795180723,0.3,0.6494845360824743,26.714285714285715,7.464285714285714,4.5
"Ellis, Stephanie",1,2011-12,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
"Ellis, Stephanie",2,2011-12;2013-14,13.0,,60.0,2.0,11.0,1.0,3.0,2.0,3.0,7.0,2.0,6.0,8.0,8.0,,9.0,1.0,,0.18181818181818182,0.3333333333333333,0.6666666666666666,4.615384615384615,0.5384615384615384,0.6153846153846154
"Engelbert, Cami",1,2012-13,27.0,,412.0,48.0,91.0,4.0,7.0,21.0,34.0,121.0,45.0,44.0,89.0,43.0,16.0,37.0,6.0,,0.5274725274725275,0.5714285714285714,0.6176470588235294,15.25925925925926,4.481481481481482,3.2962962962962963
"Engelbert, Cami",2,2012-13;2013-14,58.0,31.0,1172.0,134.0,277.0,8.0,28.0,53.0,94.0,329.0,102.0,128.0,230.0,109.0,62.0,90.0,18.0,5.0,0.48375451263537905,0.2857142857142857,0.5638297872340425,20.20689655172414,5.672413793103448,3.9655172413793105
"Evans, Amber",1,2019-20,7.0,,19.0,,4.0,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,,1.0,,1.0,,,0.5,2.7142857142857144,0.14285714285714285,0.42857142857142855
"Evans, Amber",2,2019-20;2020-21,8.0,,25.0,,5.0,,2.0,1.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,2.0,,1.0,,,0.5,3.125,0.125,0.75
"Ezekiel, Kenzie",1,2018-19,1.0,1.0,25.0,7.0,11.0,2.0,5.0,,3.0,16.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,,0.6363636363636364,0.4,,25.0,16.0,4.0
"Fanning, Dayjsha",1,2022-23,26.0,17.0,511.0,52.0,139.0,1.0,3.0,33.0,50.0,138.0,63.0,99.0,162.0,51.0,17.0,34.0,22.0,,0.37410071942446044,0.3333333333333333,0.66,19.653846153846153,5.3076923076923075,6.230769230769231
"Fields, Bria",1,2010-11,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Fleming, Amanda",1,2010-11,7.0,,26.0,,4.0,,4.0,,,,3.0,4.0,7.0,3.0,2.0,1.0,,1.0,,,,3.7142857142857144,,1.0
"Florian, Brandi",1,2009-10,23.0,,99.0,6.0,12.0,,,1.0,2.0,13.0,5.0,11.0,16.0,11.0,3.0,7.0,5.0,,0.5,,0.5,4.304347826086956,0.5652173913043478,0.6956521739130435
"Florian, Brandi",2,2009-10;2010-11,42.0,,278.0,22.0,52.0,,,17.0,22.0,61.0,30.0,32.0,62.0,33.0,4.0,14.0,12.0,,0.4230769230769231,,0.7727272727272727,6.619047619047619,1.4523809523809523,1.4761904761904763
"Foe, Ashley",1,2009-10,1.0,1.0,,1.0,3.0,,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,0.3333333333333333,,0.5,,3.0,3.0
"Frey, Elice",1,2010-11,28.0,27.0,633.0,93.0,208.0,,,48.0,88.0,234.0,59.0,106.0,165.0,75.0,14.0,57.0,21.0,21.0,0.44711538461538464,,0.5454545454545454,22.607142857142858,8.357142857142858,5.892857142857143
"Frey, Elice",2,2010-11;2011-12,57.0,56.0,1343.0,215.0,485.0,,1.0,105.0,180.0,535.0,124.0,217.0,341.0,162.0,34.0,105.0,56.0,83.0,0.44329896907216493,,0.5833333333333334,23.56140350877193,9.385964912280702,5.982456140350878
"Frost, Amanda",1,2010-11,1.0,,20.0,8.0,10.0,,,6.0,6.0,22.0,5.0,6.0,11.0,1.0,2.0,1.0,,2.0,0.8,,1.0,20.0,22.0,11.0
"Gaytan, Miranda",1,2020-21,1.0,,5.0,,,,,,,,,,,,,,1.0,,,,,5.0,,
"Gillam, Maizen",1,2025-26,28.0,21.0,766.0,123.0,347.0,78.0,239.0,39.0,58.0,363.0,37.0,59.0,96.0,37.0,45.0,65.0,31.0,1.0,0.35446685878962536,0.3263598326359833,0.6724137931034483,27.357142857142858,12.964285714285714,3.4285714285714284
"Gillen, Elle",1,2017-18,7.0,,31.0,3.0,8.0,2.0,6.0,5.0,6.0,13.0,2.0,5.0,7.0,3.0,2.0,2.0,1.0,,0.375,0.3333333333333333,0.8333333333333334,4.428571428571429,1.8571428571428572,1.0
"Gillen, Elle",2,2017-18;2018-19,35.0,2.0,419.0,66.0,193.0,51.0,152.0,31.0,47.0,214.0,19.0,46.0,65.0,52.0,21.0,44.0,18.0,2.0,0.34196891191709844,0.3355263157894737,0.6595744680851063,11.971428571428572,6.114285714285714,1.8571428571428572
"Gillen, Elle",3,2017-18;2018-19;2019-20,65.0,21.0,1044.0,122.0,389.0,88.0,310.0,60.0,80.0,392.0,30.0,109.0,139.0,132.0,69.0,81.0,38.0,11.0,0.31362467866323906,0.2838709677419355,0.75,16.06153846153846,6.030769230769231,2.1384615384615384
